doi,Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,mu_e_2,mu_h_2,E_LUMO (eV)_2,E_HOMO (eV)_2
10.1039/c5cc10009g,PRF,*c1cc2c(s1)-c1sc(-c3cc(F)c(*)c4nsnc34)cc1C2(C)C,1,0.0,0,0.0,0.4,-3.78,-5.05,P2F (CDT-FBTz),*c1cc2c(s1)-c1sc(-c3c(F)cc(-c4cc5c(s4)-c4sc(-c6cc(F)c(*)c7nsnc67)cc4C5(C)C)c4nsnc34)cc1C2(C)C,1,0.0,0,0.0,1.2,-3.78,-5.03
10.1039/c5cc10009g,PRF,*c1cc2c(s1)-c1sc(-c3cc(F)c(*)c4nsnc34)cc1C2(C)C,1,0.0,0,0.0,0.4,-3.78,-5.05,PDF (CDT-2FBTz),*c1cc2c(s1)-c1sc(-c3c(F)c(F)c(*)c4nsnc34)cc1C2(C)C,1,0.0,0,0.0,0.3,-3.89,-5.19
10.1039/c5cc10009g,P2F (CDT-FBTz),*c1cc2c(s1)-c1sc(-c3c(F)cc(-c4cc5c(s4)-c4sc(-c6cc(F)c(*)c7nsnc67)cc4C5(C)C)c4nsnc34)cc1C2(C)C,1,0.0,0,0.0,1.2,-3.78,-5.03,PDF (CDT-2FBTz),*c1cc2c(s1)-c1sc(-c3c(F)c(F)c(*)c4nsnc34)cc1C2(C)C,1,0.0,0,0.0,0.3,-3.89,-5.19
10.1039/c5py00161g,PBTPBF-BT,*c1cc2c(s1)/C(=C1\C(=O)Oc3cc4c(cc31)OC(=O)/C4=C1/C(=O)N(C)c3cc(-c4cc(C)c(-c5sc(*)cc5C)s4)sc31)C(=O)N2C,1,0.0,1,0.22,0.45,-3.94,-5.18,PBIBDF-BT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc(C)c(-c4sc(*)cc4C)s3)ccc21,1,0.0,1,1.06,0.0,-4.03,-5.55
10.1039/c5py00605h,PTTB-2T,*c1ccc(-c2ccc(-c3cc4c5cc(C)sc5c5cc6c(cc5c4s3)c3sc(C)cc3c3cc(*)sc36)s2)s1,1,0.0,1,0.0,0.08,-3.2,-5.15,PTTB-TT,*c1cc2sc(-c3cc4c5cc(C)sc5c5cc6c(cc5c4s3)c3sc(C)cc3c3cc(*)sc36)cc2s1,1,0.0,1,0.0,0.03,-3.18,-5.18
10.1039/c5py00605h,PTTB-2T,*c1ccc(-c2ccc(-c3cc4c5cc(C)sc5c5cc6c(cc5c4s3)c3sc(C)cc3c3cc(*)sc36)s2)s1,1,0.0,1,0.0,0.08,-3.2,-5.15,PTTB-BZ,*c1cc2c3cc(C)sc3c3cc4c(cc3c2s1)c1sc(C)cc1c1cc(-c2ccc(*)c3nsnc23)sc14,1,0.0,1,0.0,0.15,-3.6,-5.28
10.1039/c5py00605h,PTTB-TT,*c1cc2sc(-c3cc4c5cc(C)sc5c5cc6c(cc5c4s3)c3sc(C)cc3c3cc(*)sc36)cc2s1,1,0.0,1,0.0,0.03,-3.18,-5.18,PTTB-BZ,*c1cc2c3cc(C)sc3c3cc4c(cc3c2s1)c1sc(C)cc1c1cc(-c2ccc(*)c3nsnc23)sc14,1,0.0,1,0.0,0.15,-3.6,-5.28
10.1039/c5py00804b,PDPP3T-CN,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5sc(*)c(C#N)c5C#N)s4)=C3C(=O)N2C)s1,1,0.0,0,0.09,0.0017,-3.8,-5.48,PDPPTPT-CN,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(C#N)c(*)cc5C#N)s4)=C3C(=O)N2C)s1,1,0.0,1,0.18,0.0086,-3.71,-5.63
10.1039/c5py01995h,TPD,*c1ccc(-c2ccc(-c3sc(-c4sc(*)c5c4C(=O)N(C)C5=O)c4c3C(=O)N(C)C4=O)s2)s1,1,0.0,1,0.0,0.35,-3.99,-5.8,TPD2T-BT,*c1ccc(-c2ccc(-c3ccc(-c4sc(-c5sc(-c6ccc(*)s6)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)s2)s1,1,0.0,1,0.0,0.47,-3.79,-5.52
10.1039/c5py01995h,TPD,*c1ccc(-c2ccc(-c3sc(-c4sc(*)c5c4C(=O)N(C)C5=O)c4c3C(=O)N(C)C4=O)s2)s1,1,0.0,1,0.0,0.35,-3.99,-5.8,TPD2T-i-alkyl-BT,*c1ccc(-c2ccc(-c3cc(C)c(-c4sc(-c5sc(-c6sc(*)cc6C)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)s2)s1,1,0.0,1,0.0,1.4,-3.72,-5.49
