Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,E_LUMO (eV)_2,E_HOMO (eV)_2
PTIIG-T,*c1ccc(-c2cc3c(s2)/C(=C2\C(=O)N(C)c4cc(*)sc42)C(=O)N3C)s1,1,0.0,0,0.0,0.17,-3.62,-5.03,PTIIG-SeSe,*c1cc2c(s1)/C(=C1\C(=O)N(C)c3cc(-c4cc5[se]c(*)cc5[se]4)sc31)C(=O)N2C,1,0.0,0,-3.6,-4.95
PTIIG-T,*c1ccc(-c2cc3c(s2)/C(=C2\C(=O)N(C)c4cc(*)sc42)C(=O)N3C)s1,1,0.0,0,0.0,0.17,-3.62,-5.03,PAIID-SeSe,*c1ccc2c(n1)N(C)C(=O)/C2=C1/C(=O)N(C)c2nc(-c3cc4[se]c(*)cc4[se]3)ccc21,1,0.0,0,-3.7,-5.55
