polymer,span_L,n_repeats,oligomer,oligomer_cp_mapped,cp_span_measured,cp_span_expected,span_ok,status
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5c(F)c(F)c(*)c(F)c5F)s4)=C3C(=O)N2C)s1,13,1,CN1C(=O)C2=C(c3ccc(-c4c(F)c(F)cc(F)c4F)s3)N(C)C(=O)C2=C1c1cccs1,CN1C(=O)C2=C(c3cc[cH:1]s3)N(C)C(=O)C2=C1c1ccc(-c2c(F)c(F)[cH:2]c(F)c2F)s1,13,13,True,ok
*c1ccc(-c2ccc(-c3sc(C4=C/C(=C5/C=C(c6cc(C)c(*)s6)C(=O)S5)SC4=O)cc3C)s2)s1,17,1,Cc1csc(C2=C/C(=C3/C=C(c4cc(C)c(-c5ccc(-c6cccs6)s5)s4)C(=O)S3)SC2=O)c1,Cc1cc(C2=C/C(=C3/C=C(c4cc(C)[cH:2]s4)C(=O)S3)SC2=O)sc1-c1ccc(-c2cc[cH:1]s2)s1,17,17,True,ok
*c1ccc(-c2ccc(C3=C4C(SC)=NC(c5ccc(*)s5)=C4C(SC)=N3)s2)o1,12,2,CSC1=NC(c2ccc(-c3ccc(-c4ccc(C5=C6C(SC)=NC(c7ccc(-c8ccco8)s7)=C6C(SC)=N5)s4)o3)s2)=C2C(SC)=NC(c3cccs3)=C12,CSC1=NC(c2ccc(-c3cc[cH:1]o3)s2)=C2C(SC)=NC(c3ccc(-c4ccc(-c5ccc(C6=C7C(SC)=NC(c8cc[cH:2]s8)=C7C(SC)=N6)s5)o4)s3)=C12,25,25,True,ok
*c1ccc(C2=C3C(SC)=NC(c4ccc(-c5ccc(*)s5)s4)=C3C(SC)=N2)s1,12,2,CSC1=NC(c2ccc(-c3ccc(-c4ccc(C5=C6C(SC)=NC(c7ccc(-c8cccs8)s7)=C6C(SC)=N5)s4)s3)s2)=C2C(SC)=NC(c3cccs3)=C12,CSC1=NC(c2ccc(-c3cc[cH:2]s3)s2)=C2C(SC)=NC(c3ccc(-c4ccc(-c5ccc(C6=C7C(SC)=NC(c8cc[cH:1]s8)=C7C(SC)=N6)s5)s4)s3)=C12,25,25,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(C)c(-c6ccc(-c7sc(*)cc7C)o6)s5)s4)=C3C(=O)N2C)s1,18,1,Cc1ccsc1-c1ccc(-c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2C)o1,Cc1cc(-c2ccc(C3=C4C(=O)N(C)C(c5cc[cH:1]s5)=C4C(=O)N3C)s2)sc1-c1ccc(-c2s[cH:2]cc2C)o1,18,18,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(C)c(-c6ccc(-c7sc(*)cc7C)s6)s5)s4)=C3C(=O)N2C)s1,18,1,Cc1ccsc1-c1ccc(-c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2C)s1,Cc1cc(-c2ccc(C3=C4C(=O)N(C)C(c5cc[cH:1]s5)=C4C(=O)N3C)s2)sc1-c1ccc(-c2s[cH:2]cc2C)s1,18,18,True,ok
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(cc(-c6ccc(*)s6)c6nc7c(=O)n(C)c(=O)c7nc65)c5nc6c(=O)n(C)c(=O)c6nc45)s3)s2)s1,17,1,Cn1c(=O)c2nc3c(-c4cccs4)cc4c(cc(-c5ccc(-c6ccc(-c7cccs7)s6)s5)c5nc6c(=O)n(C)c(=O)c6nc54)c3nc2c1=O,Cn1c(=O)c2nc3c(-c4ccc(-c5ccc(-c6cc[cH:1]s6)s5)s4)cc4c(cc(-c5cc[cH:2]s5)c5nc6c(=O)n(C)c(=O)c6nc54)c3nc2c1=O,17,17,True,ok
*c1ccc(-c2cc3c(cc(-c4ccc(-c5cc(F)c(-c6sc(*)cc6F)s5)s4)c4nc5c(=O)n(C)c(=O)c5nc43)c3nc4c(=O)n(C)c(=O)c4nc23)s1,17,1,Cn1c(=O)c2nc3c(-c4cccs4)cc4c(cc(-c5ccc(-c6cc(F)c(-c7sccc7F)s6)s5)c5nc6c(=O)n(C)c(=O)c6nc54)c3nc2c1=O,Cn1c(=O)c2nc3c(-c4ccc(-c5cc(F)c(-c6s[cH:2]cc6F)s5)s4)cc4c(cc(-c5cc[cH:1]s5)c5nc6c(=O)n(C)c(=O)c6nc54)c3nc2c1=O,17,17,True,ok
*c1ccc(-c2cc3c(cc(-c4ccc(-c5sc(-c6cc(F)c(*)s6)cc5F)s4)c4nc5c(=O)n(C)c(=O)c5nc43)c3nc4c(=O)n(C)c(=O)c4nc23)s1,17,1,Cn1c(=O)c2nc3c(-c4cccs4)cc4c(cc(-c5ccc(-c6sc(-c7cc(F)cs7)cc6F)s5)c5nc6c(=O)n(C)c(=O)c6nc54)c3nc2c1=O,Cn1c(=O)c2nc3c(-c4ccc(-c5sc(-c6cc(F)[cH:2]s6)cc5F)s4)cc4c(cc(-c5cc[cH:1]s5)c5nc6c(=O)n(C)c(=O)c6nc54)c3nc2c1=O,17,17,True,ok
*c1cc2c(=O)n(C)c(=O)c3cc(-c4sc(-c5nc(C(=O)OC)c(*)s5)nc4C(=O)OC)sc3c2s1,11,2,COC(=O)c1csc(-c2nc(C(=O)OC)c(-c3cc4c(=O)n(C)c(=O)c5cc(-c6sc(-c7nc(C(=O)OC)c(-c8cc9c(=O)n(C)c(=O)c%10ccsc%10c9s8)s7)nc6C(=O)OC)sc5c4s3)s2)n1,COC(=O)c1nc(-c2nc(C(=O)OC)c(-c3cc4c(=O)n(C)c(=O)c5c[cH:1]sc5c4s3)s2)sc1-c1cc2c(=O)n(C)c(=O)c3cc(-c4sc(-c5nc(C(=O)OC)[cH:2]s5)nc4C(=O)OC)sc3c2s1,23,23,True,ok
*c1cc2c(s1)-c1sc(-c3ncc(-c4cnc(-c5cc6c(s5)-c5sc(*)cc5C6(C)C)c5nsnc45)c4nsnc34)cc1C2(C)C,19,1,CC1(C)c2ccsc2-c2sc(-c3ncc(-c4cnc(-c5cc6c(s5)-c5sccc5C6(C)C)c5nsnc45)c4nsnc34)cc21,CC1(C)c2cc(-c3ncc(-c4cnc(-c5cc6c(s5)-c5s[cH:2]cc5C6(C)C)c5nsnc45)c4nsnc34)sc2-c2s[cH:1]cc21,19,19,True,ok
*c1cc2c(s1)-c1cc3c(cc1C2(C)C)-c1sc(-c2c(F)c(F)c(*)c4nsnc24)cc1C3(C)C,13,1,CC1(C)c2cc3c(cc2-c2sccc21)C(C)(C)c1cc(-c2c(F)c(F)cc4nsnc24)sc1-3,CC1(C)c2cc3c(cc2-c2sc(-c4c(F)c(F)[cH:2]c5nsnc45)cc21)C(C)(C)c1c[cH:1]sc1-3,13,13,True,ok
*c1cc2c(s1)-c1cc3c(cc1C2(C)C)-c1sc(-c2c4c(c(*)c5nsnc25)OCCO4)cc1C3(C)C,13,1,CC1(C)c2cc3c(cc2-c2sccc21)C(C)(C)c1cc(-c2c4c(cc5nsnc25)OCCO4)sc1-3,CC1(C)c2cc3c(cc2-c2sc(-c4c5c([cH:2]c6nsnc46)OCCO5)cc21)C(C)(C)c1c[cH:1]sc1-3,13,13,True,ok
*c1ccc(-c2cc3c4c(c(-c5ccc(*)o5)cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)o1,11,2,CN1C(=O)c2cc(-c3ccc(-c4ccc(-c5cc6c7c(c(-c8ccco8)cc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)o4)o3)c3c4c(cc(-c5ccco5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3cc[cH:1]o3)c3c4c(cc(-c5ccc(-c6ccc(-c7cc8c9c(c(-c%10cc[cH:2]o%10)cc%10c9c7C(=O)N(C)C%10=O)C(=O)N(C)C8=O)o6)o5)c(c24)C1=O)C(=O)N(C)C3=O,23,23,True,ok
*c1ccc(-c2cc3c4c(c(-c5ccc(*)s5)cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)s1,11,2,CN1C(=O)c2cc(-c3ccc(-c4ccc(-c5cc6c7c(c(-c8cccs8)cc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)s4)s3)c3c4c(cc(-c5cccs5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3cc[cH:1]s3)c3c4c(cc(-c5ccc(-c6ccc(-c7cc8c9c(c(-c%10cc[cH:2]s%10)cc%10c9c7C(=O)N(C)C%10=O)C(=O)N(C)C8=O)s6)s5)c(c24)C1=O)C(=O)N(C)C3=O,23,23,True,ok
*c1ccc(-c2cc3c4c(c(-c5ccc(*)[se]5)cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)[se]1,11,2,CN1C(=O)c2cc(-c3ccc(-c4ccc(-c5cc6c7c(c(-c8ccc[se]8)cc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)[se]4)[se]3)c3c4c(cc(-c5ccc[se]5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3cc[cH:1][se]3)c3c4c(cc(-c5ccc(-c6ccc(-c7cc8c9c(c(-c%10cc[cH:2][se]%10)cc%10c9c7C(=O)N(C)C%10=O)C(=O)N(C)C8=O)[se]6)[se]5)c(c24)C1=O)C(=O)N(C)C3=O,23,23,True,ok
*c1ccc(-c2cc3c4c(c(-c5ccc(*)[se]5)cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)s1,11,2,CN1C(=O)c2cc(-c3ccc[se]3)c3c4c(cc(-c5ccc(-c6ccc(-c7cc8c9c(c(-c%10cccs%10)cc%10c9c7C(=O)N(C)C%10=O)C(=O)N(C)C8=O)[se]6)s5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3ccc(-c4ccc(-c5cc6c7c(c(-c8cc[cH:2][se]8)cc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)s4)[se]3)c3c4c(cc(-c5cc[cH:1]s5)c(c24)C1=O)C(=O)N(C)C3=O,23,23,True,ok
*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc4sc(*)cc4s3)ccc21,20,1,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3cc(-c4cc5sccc5s4)ccc32)c2ccccc21,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3c[cH:1]ccc32)c2ccc(-c3cc4s[cH:2]cc4s3)cc21,20,20,True,ok
*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc4cc5sc(*)cc5cc4s3)ccc21,22,1,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3cc(-c4cc5cc6sccc6cc5s4)ccc32)c2ccccc21,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3c[cH:1]ccc32)c2ccc(-c3cc4cc5s[cH:2]cc5cc4s3)cc21,22,22,True,ok
*c1ccc(-c2ccc(-c3sc(-c4cc5c(cc(-c6cc(C)c(*)s6)c6nonc65)c5nonc45)cc3C)s2)s1,17,1,Cc1csc(-c2cc3c(cc(-c4cc(C)c(-c5ccc(-c6cccs6)s5)s4)c4nonc43)c3nonc23)c1,Cc1cc(-c2cc3c(cc(-c4cc(C)[cH:2]s4)c4nonc43)c3nonc23)sc1-c1ccc(-c2cc[cH:1]s2)s1,17,17,True,ok
*c1cc2cc(C)c3c4[se]c(-c5sc(-c6c(F)c(F)c(-c7cc(C)c(*)s7)c7nsnc67)cc5C)cc4cc(C)c3c2[se]1,17,1,Cc1csc(-c2c(F)c(F)c(-c3cc(C)c(-c4cc5cc(C)c6c7[se]ccc7cc(C)c6c5[se]4)s3)c3nsnc23)c1,Cc1cc(-c2c(F)c(F)c(-c3cc(C)[cH:2]s3)c3nsnc23)sc1-c1cc2cc(C)c3c4[se][cH:1]cc4cc(C)c3c2[se]1,17,17,True,ok
*c1cc(C)c(-c2ccc(-c3ccc(-c4sc(-c5ccc(*)c6snnc56)cc4C)s3)s2)s1,15,1,Cc1ccsc1-c1ccc(-c2ccc(-c3sc(-c4cccc5snnc45)cc3C)s2)s1,Cc1cc(-c2cc[cH:2]c3snnc23)sc1-c1ccc(-c2ccc(-c3s[cH:1]cc3C)s2)s1,15,15,True,ok
*c1ccc(-c2ccc(-c3sc(-c4cc(F)c(-c5cc(C)c(*)s5)c5snnc45)cc3C)s2)s1,15,1,Cc1csc(-c2c(F)cc(-c3cc(C)c(-c4ccc(-c5cccs5)s4)s3)c3nnsc23)c1,Cc1cc(-c2cc(F)c(-c3cc(C)[cH:2]s3)c3snnc23)sc1-c1ccc(-c2cc[cH:1]s2)s1,15,15,True,ok
*c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(C)c(*)s5)c5snnc45)cc3C)s2)s1,15,1,Cc1csc(-c2c(F)c(F)c(-c3cc(C)c(-c4ccc(-c5cccs5)s4)s3)c3nnsc23)c1,Cc1cc(-c2c(F)c(F)c(-c3cc(C)[cH:2]s3)c3snnc23)sc1-c1ccc(-c2cc[cH:1]s2)s1,15,15,True,ok
*c1ccc(-c2ccc(-c3sc(-c4c(F)cc(-c5cc(C)c(*)s5)c5nsnc45)cc3C)s2)s1,15,1,Cc1csc(-c2cc(F)c(-c3cc(C)c(-c4ccc(-c5cccs5)s4)s3)c3nsnc23)c1,Cc1cc(-c2c(F)cc(-c3cc(C)[cH:2]s3)c3nsnc23)sc1-c1ccc(-c2cc[cH:1]s2)s1,15,15,True,ok
*c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(C)c(*)s5)c5nsnc45)cc3C)s2)s1,15,1,Cc1csc(-c2c(F)c(F)c(-c3cc(C)c(-c4ccc(-c5cccs5)s4)s3)c3nsnc23)c1,Cc1cc(-c2c(F)c(F)c(-c3cc(C)[cH:2]s3)c3nsnc23)sc1-c1ccc(-c2cc[cH:1]s2)s1,15,15,True,ok
*/C=C/c1cc2c3c(c(/C=C/c4ccc(-c5ccc(*)s5)s4)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,1,C=Cc1cc2c3c(c(/C=C/c4ccc(-c5cccs5)s4)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,CN1C(=O)c2cc(/C=C/c3ccc(-c4cc[cH:2]s4)s3)c3c4c(cc(C=[CH2:1])c(c24)C1=O)C(=O)N(C)C3=O,15,15,True,ok
*/C=C/c1cc2c3c(c(/C=C/c4ccc(/C=C/c5ccc(*)s5)s4)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,17,1,C=Cc1cc2c3c(c(/C=C/c4ccc(/C=C/c5cccs5)s4)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,CN1C(=O)c2cc(/C=C/c3ccc(/C=C/c4cc[cH:2]s4)s3)c3c4c(cc(C=[CH2:1])c(c24)C1=O)C(=O)N(C)C3=O,17,17,True,ok
*c1ccc(-c2ccc(-c3c(=O)n4c5ccc(OC)cc5c5c(-c6ccc(*)s6)c(=O)n6c7ccc(OC)cc7c3c6c54)s2)s1,14,1,COc1ccc2c(c1)c1c(-c3cccs3)c(=O)n3c4ccc(OC)cc4c4c(-c5ccc(-c6cccs6)s5)c(=O)n2c1c43,COc1ccc2c(c1)c1c(-c3ccc(-c4cc[cH:1]s4)s3)c(=O)n3c4ccc(OC)cc4c4c(-c5cc[cH:2]s5)c(=O)n2c1c43,14,14,True,ok
*c1ccc(-c2c(=O)n3c4ccc(OC)cc4c4c(-c5ccc(-c6ccc(*)[se]6)s5)c(=O)n5c6ccc(OC)cc6c2c5c43)s1,14,1,COc1ccc2c(c1)c1c(-c3cccs3)c(=O)n3c4ccc(OC)cc4c4c(-c5ccc(-c6ccc[se]6)s5)c(=O)n2c1c43,COc1ccc2c(c1)c1c(-c3ccc(-c4cc[cH:2][se]4)s3)c(=O)n3c4ccc(OC)cc4c4c(-c5cc[cH:1]s5)c(=O)n2c1c43,14,14,True,ok
*c1ccc(-c2ccc(-c3c(=O)n4c5ccc(OC)cc5c5c(-c6ccc(*)s6)c(=O)n6c7ccc(OC)cc7c3c6c54)s2)cc1,15,1,COc1ccc2c(c1)c1c(-c3cccs3)c(=O)n3c4ccc(OC)cc4c4c(-c5ccc(-c6ccccc6)s5)c(=O)n2c1c43,COc1ccc2c(c1)c1c(-c3ccc(-c4cc[cH:1]cc4)s3)c(=O)n3c4ccc(OC)cc4c4c(-c5cc[cH:2]s5)c(=O)n2c1c43,15,15,True,ok
*c1ccc2c(c1)C(C)(C)c1nc3c(nc1-2)C(C)(C)c1cc(-c2cc4sc(*)cc4s2)ccc1-3,15,1,CC1(C)c2ccccc2-c2nc3c(nc21)-c1ccc(-c2cc4sccc4s2)cc1C3(C)C,CC1(C)c2cc(-c3cc4s[cH:2]cc4s3)ccc2-c2nc3c(nc21)-c1cc[cH:1]cc1C3(C)C,15,15,True,ok
*c1cc(C#CC)c(-c2sc(-c3c(F)c(F)c(*)c4nsnc34)cc2C#CC)s1,9,2,CC#Cc1ccsc1-c1sc(-c2c(F)c(F)c(-c3cc(C#CC)c(-c4sc(-c5c(F)c(F)cc6nsnc56)cc4C#CC)s3)c3nsnc23)cc1C#CC,CC#Cc1cc(-c2c(F)c(F)c(-c3cc(C#CC)c(-c4s[cH:1]cc4C#CC)s3)c3nsnc23)sc1-c1sc(-c2c(F)c(F)[cH:2]c3nsnc23)cc1C#CC,19,19,True,ok
*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc(F)c(-c4sc(*)cc4F)s3)ccc21,21,1,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3cc(-c4cc(F)c(-c5sccc5F)s4)ccc32)c2ccccc21,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3c[cH:1]ccc32)c2ccc(-c3cc(F)c(-c4s[cH:2]cc4F)s3)cc21,21,21,True,ok
*c1ccc(-c2cc3c(cc(-c4ccc(-c5cc(C#CC)c(/C=C/c6sc(*)cc6C#CC)s5)s4)c4nsnc43)c3nsnc23)s1,19,1,CC#Cc1ccsc1/C=C/c1sc(-c2ccc(-c3cc4c(cc(-c5cccs5)c5nsnc54)c4nsnc34)s2)cc1C#CC,CC#Cc1cc(-c2ccc(-c3cc4c(cc(-c5cc[cH:1]s5)c5nsnc54)c4nsnc34)s2)sc1/C=C/c1s[cH:2]cc1C#CC,19,19,True,ok
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc(C#CC)c(/C=C/c5sc(*)cc5C#CC)s4)s3)c3nsnc23)s1,17,1,CC#Cc1ccsc1/C=C/c1sc(-c2ccc(-c3c(F)c(F)c(-c4cccs4)c4nsnc34)s2)cc1C#CC,CC#Cc1cc(-c2ccc(-c3c(F)c(F)c(-c4cc[cH:1]s4)c4nsnc34)s2)sc1/C=C/c1s[cH:2]cc1C#CC,17,17,True,ok
*c1ccc(-c2cc(C)c(-c3nc4c(=O)n(C)c(=O)c5nc(-c6sc(*)cc6C)sc5c4s3)s2)s1,14,1,Cc1ccsc1-c1nc2c(=O)n(C)c(=O)c3nc(-c4sc(-c5cccs5)cc4C)sc3c2s1,Cc1cc(-c2cc[cH:1]s2)sc1-c1nc2c(=O)n(C)c(=O)c3nc(-c4s[cH:2]cc4C)sc3c2s1,14,14,True,ok
*c1cc(C)c(-c2nc3c(=O)n(C)c(=O)c4nc(-c5sc(-c6sc(*)c(F)c6F)cc5C)sc4c3s2)s1,14,1,Cc1ccsc1-c1nc2c(=O)n(C)c(=O)c3nc(-c4sc(-c5scc(F)c5F)cc4C)sc3c2s1,Cc1cc(-c2s[cH:2]c(F)c2F)sc1-c1nc2c(=O)n(C)c(=O)c3nc(-c4s[cH:1]cc4C)sc3c2s1,14,14,True,ok
*c1ccc(-c2cc3c(=O)n(C)c(=O)c4nc(-c5nc6c(=O)n(C)c(=O)c7cc(*)sc7c6s5)sc4c3s2)s1,14,1,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cccs6)sc5c4s3)nc2c1=O,Cn1c(=O)c2cc(-c3cc[cH:1]s3)sc2c2sc(-c3nc4c(=O)n(C)c(=O)c5c[cH:2]sc5c4s3)nc2c1=O,14,14,True,ok
*c1cc2c(=O)n(C)c(=O)c3nc(-c4nc5c(=O)n(C)c(=O)c6cc(-c7sc(*)c(F)c7F)sc6c5s4)sc3c2s1,14,1,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6scc(F)c6F)sc5c4s3)nc2c1=O,Cn1c(=O)c2cc(-c3s[cH:2]c(F)c3F)sc2c2sc(-c3nc4c(=O)n(C)c(=O)c5c[cH:1]sc5c4s3)nc2c1=O,14,14,True,ok
*c1cc2c(=O)n(C)c(=O)c3nc(-c4nc5c(=O)n(C)c(=O)c6cc(*)sc6c5s4)sc3c2s1,11,2,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cc7c(=O)n(C)c(=O)c8nc(-c9nc%10c(=O)n(C)c(=O)c%11ccsc%11c%10s9)sc8c7s6)sc5c4s3)nc2c1=O,Cn1c(=O)c2cc(-c3cc4c(=O)n(C)c(=O)c5nc(-c6nc7c(=O)n(C)c(=O)c8c[cH:2]sc8c7s6)sc5c4s3)sc2c2sc(-c3nc4c(=O)n(C)c(=O)c5c[cH:1]sc5c4s3)nc2c1=O,23,23,True,ok
*c1cnc(-c2cc3c4c(c(-c5ncc(-c6sc(*)c(F)c6F)s5)cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)s1,14,1,CN1C(=O)c2cc(-c3ncc(-c4scc(F)c4F)s3)c3c4c(cc(-c5nccs5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3nc[cH:1]s3)c3c4c(cc(-c5ncc(-c6s[cH:2]c(F)c6F)s5)c(c24)C1=O)C(=O)N(C)C3=O,14,14,True,ok
*c1ccc(-c2cnc(-c3cc4c5c(c(-c6ncc(*)s6)cc6c5c3C(=O)N(C)C6=O)C(=O)N(C)C4=O)s2)s1,14,1,CN1C(=O)c2cc(-c3ncc(-c4cccs4)s3)c3c4c(cc(-c5nccs5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3nc[cH:2]s3)c3c4c(cc(-c5ncc(-c6cc[cH:1]s6)s5)c(c24)C1=O)C(=O)N(C)C3=O,14,14,True,ok
*c1cnc(-c2cc3c4c(c(-c5ncc(-c6ccc(*)[se]6)s5)cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)s1,14,1,CN1C(=O)c2cc(-c3ncc(-c4ccc[se]4)s3)c3c4c(cc(-c5nccs5)c(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2cc(-c3nc[cH:1]s3)c3c4c(cc(-c5ncc(-c6cc[cH:2][se]6)s5)c(c24)C1=O)C(=O)N(C)C3=O,14,14,True,ok
*c1cc(C)c(/C=C/c2sc(-c3sc(*)c4c3C(=O)N(C)C4=O)cc2C)s1,10,2,Cc1ccsc1/C=C/c1sc(-c2sc(-c3cc(C)c(/C=C/c4sc(-c5scc6c5C(=O)N(C)C6=O)cc4C)s3)c3c2C(=O)N(C)C3=O)cc1C,Cc1cc(-c2sc(-c3cc(C)c(/C=C/c4s[cH:1]cc4C)s3)c3c2C(=O)N(C)C3=O)sc1/C=C/c1sc(-c2s[cH:2]c3c2C(=O)N(C)C3=O)cc1C,21,21,True,ok
*c1cc(F)c(-c2sc(-c3cc4c(s3)c3cc5c(cc3c3c(=O)n(C)c(=O)c43)c3sc(*)cc3c3c(=O)n(C)c(=O)c53)cc2F)s1,15,1,Cn1c(=O)c2c3cc4c(cc3c3sccc3c2c1=O)c1c(=O)n(C)c(=O)c1c1cc(-c2cc(F)c(-c3sccc3F)s2)sc41,Cn1c(=O)c2c3cc4c(cc3c3sc(-c5cc(F)c(-c6s[cH:1]cc6F)s5)cc3c2c1=O)c1c(=O)n(C)c(=O)c1c1c[cH:2]sc41,15,15,True,ok
*c1cc(C)c(-c2oc(-c3c(F)c(F)c(*)c4nsnc34)cc2C)o1,9,2,Cc1ccoc1-c1oc(-c2c(F)c(F)c(-c3cc(C)c(-c4oc(-c5c(F)c(F)cc6nsnc56)cc4C)o3)c3nsnc23)cc1C,Cc1cc(-c2c(F)c(F)c(-c3cc(C)c(-c4o[cH:1]cc4C)o3)c3nsnc23)oc1-c1oc(-c2c(F)c(F)[cH:2]c3nsnc23)cc1C,19,19,True,ok
*c1ccc(/C=C/c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(C)C6=O)C(=O)N(C)C4=O)s2)s1,13,1,CN1C(=O)c2ccc3c4c(c(-c5ccc(/C=C/c6cccs6)s5)cc(c24)C1=O)C(=O)N(C)C3=O,CN1C(=O)c2c[cH:2]c3c4c(cc(-c5ccc(/C=C/c6cc[cH:1]s6)s5)c(c24)C1=O)C(=O)N(C)C3=O,13,13,True,ok
*c1ccc(-c2ccc(-c3ccc(-c4nc5c(s4)-c4cc6c(cc4C5(C)C)-c4sc(*)nc4C6(C)C)s3)c3nsnc23)s1,19,1,CC1(C)c2cc3c(cc2-c2scnc21)C(C)(C)c1nc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc45)s2)sc1-3,CC1(C)c2cc3c(cc2-c2sc(-c4ccc(-c5ccc(-c6cc[cH:1]s6)c6nsnc56)s4)nc21)C(C)(C)c1n[cH:2]sc1-3,19,19,True,ok
*c1ccc2c(n1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2nc(-c3ccc(C(F)(F)C(F)(F)c4ccc(*)s4)s3)ccc21,23,1,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3nc(-c4ccc(C(F)(F)C(F)(F)c5cccs5)s4)ccc32)c2cccnc21,CN1C(=O)/C(=C2/C(=O)Oc3cc4c(cc32)OC(=O)/C4=C2/C(=O)N(C)c3n[cH:1]ccc32)c2ccc(-c3ccc(C(F)(F)C(F)(F)c4cc[cH:2]s4)s3)nc21,23,23,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5sc(-c6sc(*)c(Cl)c6Cl)c(Cl)c5Cl)s4)=C3C(=O)N2C)s1,15,1,CN1C(=O)C2=C(c3ccc(-c4sc(-c5scc(Cl)c5Cl)c(Cl)c4Cl)s3)N(C)C(=O)C2=C1c1cccs1,CN1C(=O)C2=C(c3cc[cH:1]s3)N(C)C(=O)C2=C1c1ccc(-c2sc(-c3s[cH:2]c(Cl)c3Cl)c(Cl)c2Cl)s1,15,15,True,ok
