polymer,span_L,n_repeats,oligomer,oligomer_cp_mapped,cp_span_measured,cp_span_expected,span_ok,status
*c1cc2sc(-c3sc(-c4cc(C)c(*)s4)cc3C)cc2s1,10,2,Cc1csc(-c2cc(C)c(-c3cc4sc(-c5sc(-c6cc(C)c(-c7cc8sccc8s7)s6)cc5C)cc4s3)s2)c1,Cc1cc(-c2cc(C)c(-c3cc4s[cH:1]cc4s3)s2)sc1-c1cc2sc(-c3sc(-c4cc(C)[cH:2]s4)cc3C)cc2s1,21,21,True,ok
*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)N(C)c2cc(-c3ccc4cc(*)ccc4c3)ccc21,15,1,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4ccc5ccccc5c4)ccc32)c2ccccc21,CN1C(=O)/C(=C2/C(=O)N(C)c3c[cH:1]ccc32)c2ccc(-c3ccc4c[cH:2]ccc4c3)cc21,15,15,True,ok
*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)N(C)c2cc(-c3ccc(-c4ccc(*)s4)s3)ccc21,15,1,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4ccc(-c5cccs5)s4)ccc32)c2ccccc21,CN1C(=O)/C(=C2/C(=O)N(C)c3c[cH:1]ccc32)c2ccc(-c3ccc(-c4cc[cH:2]s4)s3)cc21,15,15,True,ok
*c1ccc(-c2ccc(-c3ccc(-c4sc(-c5sc(*)c6c5C(=O)N(C)C6=O)c5c4C(=O)N(C)C5=O)s3)c3nsnc23)s1,15,1,CN1C(=O)c2csc(-c3sc(-c4ccc(-c5ccc(-c6cccs6)c6nsnc56)s4)c4c3C(=O)N(C)C4=O)c2C1=O,CN1C(=O)c2c(-c3ccc(-c4ccc(-c5cc[cH:1]s5)c5nsnc45)s3)sc(-c3s[cH:2]c4c3C(=O)N(C)C4=O)c2C1=O,15,15,True,ok
*c1ccc(/C=C/c2ccc(-c3sc(-c4c5c(c(-c6cc(C)c(*)s6)c6nn(C)nc46)N=S=N5)cc3C)s2)s1,17,1,Cc1csc(-c2c3c(c(-c4cc(C)c(-c5ccc(/C=C/c6cccs6)s5)s4)c4nn(C)nc24)N=S=N3)c1,Cc1cc(-c2c3c(c(-c4cc(C)[cH:2]s4)c4nn(C)nc24)N=S=N3)sc1-c1ccc(/C=C/c2cc[cH:1]s2)s1,17,17,True,ok
*c1ccc(/C=C/c2ccc(-c3sc(-c4c5c(c(-c6cc(C)c(*)s6)c6nn(C)nc46)N=S=N5)cc3C)o2)o1,17,1,Cc1csc(-c2c3c(c(-c4cc(C)c(-c5ccc(/C=C/c6ccco6)o5)s4)c4nn(C)nc24)N=S=N3)c1,Cc1cc(-c2c3c(c(-c4cc(C)[cH:2]s4)c4nn(C)nc24)N=S=N3)sc1-c1ccc(/C=C/c2cc[cH:1]o2)o1,17,17,True,ok
*c1cc2c3c(c(-c4sc(-c5c6c(c(-c7cc(C)c(*)s7)c7nn(C)nc57)N=S=N6)cc4C)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,1,Cc1csc(-c2c3c(c(-c4cc(C)c(-c5cc6c7c(ccc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)s4)c4nn(C)nc24)N=S=N3)c1,Cc1cc(-c2c3c(c(-c4cc(C)[cH:2]s4)c4nn(C)nc24)N=S=N3)sc1-c1cc2c3c([cH:1]cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,15,True,ok
*c1cc2c3c(c(-c4sc(-c5c6c(c(-c7cc(C)c(*)s7)c7nn(C)nc57)N=[Se]=N6)cc4C)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,1,Cc1csc(-c2c3c(c(-c4cc(C)c(-c5cc6c7c(ccc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)s4)c4nn(C)nc24)N=[Se]=N3)c1,Cc1cc(-c2c3c(c(-c4cc(C)[cH:2]s4)c4nn(C)nc24)N=[Se]=N3)sc1-c1cc2c3c([cH:1]cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,15,True,ok
*c1cc2c3c(c(-c4sc(-c5c6c(c(-c7cc(C)c(*)s7)c7nsnc57)N=S=N6)cc4C)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,1,Cc1csc(-c2c3c(c(-c4cc(C)c(-c5cc6c7c(ccc8c7c5C(=O)N(C)C8=O)C(=O)N(C)C6=O)s4)c4nsnc24)N=S=N3)c1,Cc1cc(-c2c3c(c(-c4cc(C)[cH:2]s4)c4nsnc24)N=S=N3)sc1-c1cc2c3c([cH:1]cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,15,15,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(-c6ccc(*)s6)s5)cn4)=C3C(=O)N2C)nc1,17,1,CN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccs5)s4)cn3)N(C)C(=O)C2=C1c1ccccn1,CN1C(=O)C2=C(c3cc[cH:1]cn3)N(C)C(=O)C2=C1c1ccc(-c2ccc(-c3cc[cH:2]s3)s2)cn1,17,17,True,ok
*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5sc(-c6sc(*)c(F)c6F)c(F)c5F)cn4)=C3C(=O)N2C)nc1,17,1,CN1C(=O)C2=C(c3ccc(-c4sc(-c5scc(F)c5F)c(F)c4F)cn3)N(C)C(=O)C2=C1c1ccccn1,CN1C(=O)C2=C(c3cc[cH:1]cn3)N(C)C(=O)C2=C1c1ccc(-c2sc(-c3s[cH:2]c(F)c3F)c(F)c2F)cn1,17,17,True,ok
*/C=C/c1sc(-c2ccc(-c3c(=O)n4c5ccccc5c5c(-c6ccc(-c7cc(C)c(*)s7)s6)c(=O)n6c7ccccc7c3c6c54)s2)cc1C,19,1,C=Cc1sc(-c2ccc(-c3c(=O)n4c5ccccc5c5c(-c6ccc(-c7cc(C)cs7)s6)c(=O)n6c7ccccc7c3c6c54)s2)cc1C,Cc1cc(-c2ccc(-c3c(=O)n4c5ccccc5c5c(-c6ccc(-c7cc(C)[cH:2]s7)s6)c(=O)n6c7ccccc7c3c6c54)s2)sc1C=[CH2:1],19,19,True,ok
*/C=C/c1sc(-c2ccc(-c3c(=O)n4c5ccc(F)cc5c5c(-c6ccc(-c7cc(C)c(*)s7)s6)c(=O)n6c7ccc(F)cc7c3c6c54)s2)cc1C,19,1,C=Cc1sc(-c2ccc(-c3c(=O)n4c5ccc(F)cc5c5c(-c6ccc(-c7cc(C)cs7)s6)c(=O)n6c7ccc(F)cc7c3c6c54)s2)cc1C,Cc1cc(-c2ccc(-c3c(=O)n4c5ccc(F)cc5c5c(-c6ccc(-c7cc(C)[cH:2]s7)s6)c(=O)n6c7ccc(F)cc7c3c6c54)s2)sc1C=[CH2:1],19,19,True,ok
